player_name,nation,position,team_name,league,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists
Albert Grønbaek,dk DEN,"FW,MF",Southampton,eng Premier League,23.0,4,2,143,0,0,0,0,0,0.1,0.0
Albert Grønbaek,dk DEN,"MF,FW",Rennes,fr Ligue 1,23.0,16,9,813,2,1,0,1,0,1.5,1.0
Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,37.0,34,34,3060,0,0,0,0,0,0.0,0.0
Sergi Guardiola,es ESP,FW,Rayo Vallecano,es La Liga,33.0,16,1,362,0,0,0,1,0,2.4,0.1
Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,es La Liga,32.0,31,27,2493,1,1,1,6,0,1.6,0.6
Gabriel Gudmundsson,se SWE,DF,Lille,fr Ligue 1,25.0,30,20,1785,2,0,0,3,0,0.7,1.4
Gonçalo Guedes,pt POR,"MF,FW",Wolves,eng Premier League,27.0,29,10,995,2,4,0,1,0,3.2,1.3
Axel Gueguin,fr FRA,FW,Montpellier,fr Ligue 1,19.0,1,0,23,0,0,0,0,0,0.0,0.0
Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,24.0,34,34,3059,3,2,0,9,1,2.0,1.8
Mattéo Guendouzi,fr FRA,MF,Lazio,it Serie A,25.0,37,37,3270,1,3,0,7,0,1.4,3.2
Javier Guerra,es ESP,MF,Valencia,es La Liga,21.0,36,31,2581,3,3,0,5,0,2.2,3.2
Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,de Bundesliga,30.0,23,19,1572,4,4,0,2,0,2.9,2.9
Evann Guessand,ci CIV,"FW,MF",Nice,fr Ligue 1,23.0,33,30,2565,12,8,0,2,0,9.2,5.4
Ander Guevara,es ESP,MF,Alavés,es La Liga,27.0,33,20,1947,0,1,0,3,0,0.9,0.6
Pape Gueye,sn SEN,MF,Villarreal,es La Liga,25.0,34,26,2224,4,0,0,6,2,3.4,1.1
Morgan Guilavogui,gn GUI,"FW,MF",St. Pauli,de Bundesliga,26.0,25,21,1807,6,2,0,6,0,7.1,1.9
Frederic Guilbert,fr FRA,DF,Lecce,it Serie A,29.0,31,31,2435,0,1,0,3,2,0.3,1.8
Luis Guilherme,br BRA,"MF,FW",West Ham,eng Premier League,18.0,12,1,150,0,0,0,0,0,0.4,0.1
Hugo Guillamón,es ESP,MF,Valencia,es La Liga,24.0,12,4,364,0,0,0,2,0,0.1,0.0
Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,26.0,38,38,3271,5,6,0,7,0,4.3,6.1
Carlos Guirao,es ESP,MF,Betis,es La Liga,21.0,2,2,110,0,0,0,0,0,0.0,0.0
Bahereba Guirassy,fr FRA,"FW,MF",Nantes,fr Ligue 1,17.0,19,2,348,2,0,0,0,0,0.7,0.1
Serhou Guirassy,gn GUI,FW,Dortmund,de Bundesliga,28.0,30,29,2598,21,4,3,4,0,22.7,3.9
Marc Guiu,es ESP,FW,Chelsea,eng Premier League,18.0,3,0,73,0,0,0,0,0,0.0,0.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34.0,30,30,2631,0,0,0,0,0,0.0,0.0
Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,19.0,28,14,1250,3,4,0,1,0,3.3,4.5
Gerard Gumbau,es ESP,MF,Rayo Vallecano,es La Liga,29.0,22,7,849,0,1,0,4,0,1.1,1.3
Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,26.0,7,2,271,0,0,0,2,0,0.3,0.5
İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,33.0,33,25,2223,1,6,0,1,0,3.2,3.5
Christian Günter,de GER,DF,Freiburg,de Bundesliga,31.0,29,27,2314,2,2,0,0,0,0.8,2.5
Jon Guridi,es ESP,"MF,FW",Alavés,es La Liga,29.0,33,27,2080,3,1,1,6,0,4.2,1.2
Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,27.0,36,21,1840,7,2,0,2,0,6.7,1.5
Malo Gusto,fr FRA,DF,Chelsea,eng Premier League,21.0,32,19,1862,0,1,0,4,0,1.7,1.4
Miguel Gutiérrez,es ESP,"DF,MF",Girona,es La Liga,23.0,29,29,2458,1,5,0,4,0,1.6,4.1
Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,it Serie A,27.0,24,16,1273,6,1,2,2,0,4.5,1.8
Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,22.0,37,36,3277,5,0,0,2,0,4.6,2.1
Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,it Serie A,30.0,37,37,3217,2,1,0,5,0,3.9,0.7
Christian Gytkjær,dk DEN,FW,Venezia,it Serie A,34.0,29,6,754,2,1,1,0,0,2.4,0.5
Erling Haaland,no NOR,FW,Manchester City,eng Premier League,24.0,31,31,2736,22,3,3,2,0,22.0,3.0
Nicolas Haas,ch SUI,MF,Empoli,it Serie A,28.0,10,2,287,0,0,0,1,0,0.0,0.1
Janik Haberer,de GER,"MF,DF",Union Berlin,de Bundesliga,30.0,28,21,1696,0,0,0,1,0,0.7,0.8
Robin Hack,de GER,"FW,MF",Gladbach,de Bundesliga,25.0,33,27,2172,4,7,0,4,0,5.4,3.6
Saad El Haddad,ma MAR,MF,Venezia,it Serie A,19.0,3,0,30,0,0,0,0,0,0.0,0.0
Munir El Haddadi,ma MAR,"FW,MF",Leganés,es La Liga,28.0,25,10,862,4,0,0,1,1,1.6,0.8
Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,26.0,28,16,1320,0,1,0,7,0,1.4,0.9
Massadio Haïdara,ml MLI,DF,Brest,fr Ligue 1,31.0,22,20,1678,0,0,0,3,2,0.3,0.5
Antoine Hainaut,fr FRA,"DF,FW",Parma,it Serie A,22.0,25,10,1206,2,0,0,4,0,0.8,1.0
Mohamed Haj,tn TUN,MF,Parma,it Serie A,19.0,15,3,453,1,2,0,4,0,0.6,1.2
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,25.0,25,24,2066,4,6,0,4,0,2.9,6.2
Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,19.0,27,24,2189,0,4,0,3,0,0.4,4.3
Sébastien Haller,ci CIV,FW,Leganés,es La Liga,30.0,8,5,404,0,0,0,0,0,0.4,0.2
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,eng Premier League,22.0,11,0,134,0,0,0,3,0,0.4,0.1
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,27.0,22,12,1284,1,1,0,4,1,0.8,0.3
Florent Hanin,dz ALG,DF,Angers,fr Ligue 1,34.0,33,31,2672,1,2,0,2,0,0.9,1.9
Ridgeciano Haps,sr SUR,DF,Venezia,it Serie A,31.0,25,14,1369,1,1,0,3,0,1.2,0.7
Amine Harit,ma MAR,MF,Marseille,fr Ligue 1,27.0,13,8,519,2,4,0,1,1,0.8,2.4
Marcus Harness,eng ENG,MF,Ipswich Town,eng Premier League,28.0,2,0,45,0,0,0,0,0,0.0,0.0
Phil Harres,de GER,FW,Holstein Kiel,de Bundesliga,22.0,26,17,1544,8,1,0,3,0,5.9,1.3
Jack Harrison,eng ENG,FW,Everton,eng Premier League,27.0,34,24,2076,1,0,0,0,0,3.5,3.7
Abdou Harroui,nl NED,"MF,FW",Hellas Verona,it Serie A,26.0,10,5,463,1,2,0,1,0,2.2,0.4
Taylor Harwood-Bellis,eng ENG,DF,Southampton,eng Premier League,22.0,34,32,2825,1,0,0,9,0,1.8,1.0
Hans Hateboer,nl NED,DF,Rennes,fr Ligue 1,30.0,26,18,1684,0,0,0,3,0,0.4,1.5
Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26.0,6,5,498,0,0,0,0,0,0.0,0.0
Kai Havertz,de GER,"FW,MF",Arsenal,eng Premier League,25.0,23,21,1875,9,3,0,5,0,9.5,2.4
Ayden Heaven,eng ENG,DF,Manchester Utd,eng Premier League,17.0,4,2,170,0,0,0,1,0,0.1,0.0
